e,edot,e_next,edot_next,dt
-2.467635036,-0.002461848,-2.467491895,-0.0024203712,0.007999999999995566
-2.467491895,-0.0024203712,-2.46735029,-0.002431783,0.007999999999995566
-2.46735029,-0.002431783,-2.46721281,-0.002330263,0.007999999999995566
-2.46721281,-0.002330263,-2.46707897,-0.0022529464,0.007999999999995566
-2.46707897,-0.0022529464,-2.466949135,-0.0022619164,0.007999999999995566
-2.466949135,-0.0022619164,-2.466815576,-0.0022450618,0.007999999999995566
-2.466815576,-0.0022450618,-2.466686234,-0.002244086,0.007999999999995566
-2.466686234,-0.002244086,-2.466556773,-0.0022440688,0.007999999999995566
-2.466556773,-0.0022440688,-2.4664315,-0.0022220977,0.007999999999995566
-2.4664315,-0.0022220977,-2.46629244,-0.0021928293,0.007999999999995566
-2.46629244,-0.0021928293,-2.46615757,-0.0021460261,0.007999999999995566
-2.46615757,-0.0021460261,-2.466026694,-0.0021094019,0.007999999999995566
-2.466026694,-0.0021094019,-2.46589969,-0.0020903933,0.007999999999995566
-2.46589969,-0.0020903933,-2.465750262,-0.0020286872,0.007999999999995566
-2.465750262,-0.0020286872,-2.46560502,-0.0019581595,0.007999999999995566
-2.46560502,-0.0019581595,-2.46545914,-0.0019493528,0.007999999999995566
-2.46545914,-0.0019493528,-2.465317726,-0.0019101435,0.007999999999995566
-2.465317726,-0.0019101435,-2.465154126,-0.0018717477,0.007999999999995566
-2.465154126,-0.0018717477,-2.46499543,-0.0018784981,0.007999999999995566
-2.46499543,-0.0018784981,-2.46484147,-0.0018379863,0.007999999999995566
-2.46484147,-0.0018379863,-2.464691937,-0.001783153,0.007999999999995566
-2.464691937,-0.001783153,-2.46453032,-0.0017626231,0.007999999999995566
-2.46453032,-0.0017626231,-2.464369237,-0.0017158377,0.007999999999995566
-2.464369237,-0.0017158377,-2.46421267,-0.0016681091,0.007999999999995566
-2.46421267,-0.0016681091,-2.46406047,-0.0016169512,0.007999999999995566
-2.46406047,-0.0016169512,-2.463912636,-0.0016027014,0.007999999999995566
-2.463912636,-0.0016027014,-2.46375473,-0.0016176535,0.007999999999995566
-2.46375473,-0.0016176535,-2.46360147,-0.0015748035,0.007999999999995566
-2.46360147,-0.0015748035,-2.463452473,-0.0015139496,0.007999999999995566
-2.463452473,-0.0015139496,-2.463307783,-0.0014969764,0.007999999999995566
-2.463307783,-0.0014969764,-2.46315299,-0.0014606606,0.007999999999995566
-2.46315299,-0.0014606606,-2.463002503,-0.0013703266,0.007999999999995566
-2.463002503,-0.0013703266,-2.46285574,-0.0012525131,0.007999999999995566
-2.46285574,-0.0012525131,-2.4627126,-0.001184068,0.007999999999995566
-2.4627126,-0.001184068,-2.462559775,-0.0011140221,0.007999999999995566
-2.462559775,-0.0011140221,-2.462411016,-0.0010877028,0.007999999999995566
-2.462411016,-0.0010877028,-2.462266415,-0.0010103392,0.007999999999995566
-2.462266415,-0.0010103392,-2.462123096,-0.00092481496,0.007999999999995566
-2.462123096,-0.00092481496,-2.461965427,-0.00089884014,0.007999999999995566
-2.461965427,-0.00089884014,-2.461812183,-0.0008547988,0.007999999999995566
-2.461812183,-0.0008547988,-2.461663157,-0.0007986137,0.007999999999995566
-2.461663157,-0.0007986137,-2.46151808,-0.0007405597,0.007999999999995566
-2.46151808,-0.0007405597,-2.461350292,-0.00071775133,0.007999999999995566
-2.461350292,-0.00071775133,-2.461187422,-0.00072848727,0.007999999999995566
